keyNum,addr
100044112873,25165824
100671403557,25169936
100822516443,25174048
101316012967,25178160
101453583169,25182272
101522510906,25186384
101744564321,25190496
101916241833,28540928
102949354722,28545040
102985337616,28549152
102990123509,28553264
103115670986,28557376
103432034304,28561488
103601644339,28565600
103662434933,28573696
104139379546,28577808
104389912270,28581920
104978536777,28586032
105525090724,28590144
105544220090,28594256
105573247856,28598368
106122990802,28606464
106303368887,28610576
106464631479,28614688
106493559215,28618800
106720113461,28622912
106781985077,28627024
106961827529,28631136
107152328159,28639232
107517931246,28643344
107842094174,28647456
108188676969,28651568
108336417097,28655680
108363072604,28659792
108382200088,28663904
108405433833,28672000
109273319449,28676112
109392301929,28680224
110143869393,28684336
110666473213,28688448
112942844484,28692560
113108745092,28696672
113296309249,28704768
113910420502,28708880
114128749855,28712992
114261407508,28717104
114277483221,28721216
115097315953,28725328
115252198953,28729440
115271528359,28737536
115340545095,28741648
115390420819,28745760
116104873474,28749872
116395671554,28753984
116621207119,28758096
117881396413,28762208
117960270841,28770304
117993051861,28774416
118029636487,28778528
118442019758,28782640
119106848545,28786752
119180652094,28790864
119571032061,28794976
119669289202,28803072
120594385574,28807184
121136881435,28811296
121791609211,28815408
122055265402,28819520
122256453042,28823632
122572527430,28827744
122720205337,28835840
122781874933,28839952
123048538557,28844064
123138146999,28848176
123564262973,28852288
123667205008,28856400
125407640019,28860512
125465467435,28868608
126517865382,28872720
126705906610,28876832
127336881317,28880944
128659740769,28885056
129122591057,28889168
129138387960,28893280
129680340104,28901376
129833556864,28905488
130864269408,28909600
131329093229,28913712
131509785415,28917824
131700683834,28921936
131758030077,28926048
131908919364,28934144
132501974821,28938256
132633153515,28942368
134544005173,28946480
134726885416,28950592
135810519986,28954704
135897169029,28958816
135943955940,28966912
136768523480,28971024
136929906270,28975136
136973371104,28979248
137735082979,28983360
137921175606,28987472
139354709499,28991584
139622880791,28999680
140517689715,29003792
141070992858,29007904
142108968891,29012016
142616522847,29016128
143401057759,29020240
143640310790,29024352
143669748186,29032448
144193887805,29036560
144528396445,29040672
144774769099,29044784
144851429140,29048896
144948676383,29053008
145700209517,29057120
145713546369,29065216
145740901986,29069328
145901466777,29073440
147637073056,29077552
147978388207,29081664
148947682997,29085776
149365538472,29089888
151175977419,29097984
151688224524,29102096
152234628351,29106208
153251704292,29110320
154352089710,29114432
154361367572,29118544
154395572669,29122656
154538506075,29130752
154840805760,29134864
155101536207,29138976
155159993339,29143088
156079312515,29147200
156779316060,29151312
157012665929,29155424
157609830075,29163520
158416041503,29167632
158474688622,29171744
159008247570,29175856
159345720263,29179968
159845852904,29184080
162705104763,29188192
164202587722,29196288
164520631121,29200400
164937713981,29204512
164987805629,29208624
165691925951,29212736
165727500278,29216848
167095404751,29220960
167884587624,29229056
168033141288,29233168
168218747933,29237280
168663771384,29241392
169131165810,29245504
170266228733,29249616
170326087868,29253728
170556695182,29261824
170622976526,29265936
170799145021,29270048
171011430982,29274160
171124646662,29278272
171172803704,29282384
171392219618,29286496
172044858149,29294592
172353328074,29298704
172595697752,29302816
173699415956,29306928
174119278156,29311040
174154662392,29315152
174252411561,29319264
174654399611,29327360
174797255484,29331472
174897949370,29335584
174942735361,29339696
175054490632,29343808
175766286113,29347920
175814333355,29352032
175843837276,25165824
175989211628,25169936
177094469552,25174048
177800562788,25178160
178260566251,25182272
178929235193,25186384
179691728185,25190496
179750529906,25198592
179944823744,25202704
180106249715,25206816
180349698655,25210928
180505451665,25215040
180637633436,25219152
180672620367,25223264
181182550871,25231360
182361091654,25235472
182643878404,25239584
183481113093,25243696
183608756521,25247808
184310779936,25251920
184333136179,25256032
185167600295,25264128
185365962323,25268240
185788089679,25272352
186000562531,25276464
186621867494,25280576
188133466558,25284688
188754825813,25288800
188947399938,25296896
189066291519,25301008
189146115401,25305120
189357990590,25309232
189388423758,25313344
191045712277,25317456
191161888965,25321568
191902373409,25329664
192343969578,25333776
192954765659,25337888
192967372336,25342000
193652023511,25346112
193998506385,25350224
194281673696,25354336
